hindi,english,freq
उत्पादन,production,14048
चुनाव,election,14027
बिहार,bihar,13985
यात्रा,travel,13942
आर्थिक,economic,13911
साम्राज्य,empire,13881
सहायता,help,13839
अक्सर,often,13822
उसी,same,13822
जगह,place,13748
दशक,decade,13715
पाया,found,13687
ली,took,13675
आने,come,13638
जनसंख्या,population,13621
लिखा,wrote,13595
सीमा,limit,13591
दृष्टि,vision,13564
मार्ग,route,13563
किलोमीटर,kilometer,13540
पार्टी,party,13539
बिना,without,13519
अंग्रेजी,english,13471
लगे,started,13468
अमेरिकी,american,13328
हिस्सा,part,13299
आवश्यक,necessary,13263
पूरा,complete,13239
सदी,century,13235
संस्कृत,sanskrit,13195
पुत्र,son,13113
मिलता,get,13108
आप,you,13079
सब,all,13065
वर्णन,description,13040
टीम,team,13031
किंतु,but,12958
पूर्ण,full,12937
सिद्धांत,principle,12925
रहने,stay,12915
तुलना,compare,12913
हेतु,for,12892
नई,new,12880
रहती,stays,12853
आते,coming,12850
विभाग,department,12808
अभी,now!,12800
इनका,their,12799
भर,throughout,12790
उत्तराखण्ड,uttarakhand,12768
पूरे,whole,12725
निर्देशांक,coordinates,12711
हम,we,12616
ज्यादा,more,12532
अंतर्राष्ट्रीय,international,12530
गति,motion,12511
मिला,found,12448
पड़ा,had,12445
भूमि,land,12444
आकार,size,12427
स्थानीय,local,12405
राजनीतिक,political,12400
खेल,game,12372
केंद्र,center,12349
संगठन,organization,12289
हिंदी,hindi,12273
प्रदर्शन,display,12210
प्रभावित,affected,12210
पद,post,12206
अवधि,duration,12204
अंतिम,last,12191
क्रिकेट,cricket,12165
परिवर्तन,change,12148
वो,they,12098
दर्शन,visit,12096
विशिष्ट,specific,12078
डी,d,12077
रोग,disease,12031
व्यापार,business,11963
प्रयास,attempt,11950
एस,s,11922
प्रवेश,entry,11910
सन,sun,11887
द्वीप,island,11876
स्पष्ट,clear,11845
वृद्धि,growth,11835
योजना,plan,11832
युग,era,11828
धार्मिक,religious,11827
सके,could,11754
ऑफ़,of,11745
लोकप्रिय,popular,11630
शैली,style,11592
संबंधित,connected,11584
शुरुआत,beginning,11563
कार्यक्रम,program,11529
मैं,i,11525
दूरी,distance,11523
आवश्यकता,need,11501
दूसरा,second,11481
आई,i,11405
लेने,take,11378
ऐतिहासिक,historical,11356
क्षमता,capacity,11347
रखने,keeping,11346
संस्कृति,culture,11327
यूरोप,europe,11326
हिन्दू,hindu,11262
बी,b,11257
द्वितीय,second,11253
आता,comes,11246
राष्ट्र,nation,11220
माता,mother,11188
आया,came,11175
इन्हें,these,11166
डॉ,dr,11136
एशिया,asia,11089
व्यापक,comprehensive,11044
स्कूल,school,11005
प्राकृतिक,natural,11002
जाए,go,10998
श्रेणी,category,10951
नियंत्रण,control,10929
विधि,method,10928
जाति,caste,10921
इनकी,their,10900
यही,this only,10871
उद्देश्य,objective,10859
आबादी,population,10850
वैज्ञानिक,scientist,10847
विस्तार,expansion,10845
जनता,public,10776
बौद्ध,buddhist,10775
पदार्थ,substance,10774
मीटर,meter,10767
लाख,lakh,10764
विवाह,marriage,10733
सामने,front,10702
जनवरी,january,10656
धीरे,slow,10653
प्रतिशत,percentage,10646
दिए,given,10638
इन्होंने,he,10627
संस्थान,institute,10622
राष्ट्रपति,president,10621
मई,may,10597
दिखाई,appeared,10594
कांग्रेस,congress,10591
जिन्हें,whom,10543
प्रस्तुत,presented,10500
दर,rate,10477
टी,tea,10467
हाथ,hand,10404
सहित,including,10376
ऊर्जा,energy,10359
सुरक्षा,security,10357
उल्लेख,mention,10281
निर्मित,made,10264
विशाल,huge,10251
कोड,code,10211
स्वतंत्रता,freedom,10207
परंतु,but,10180
प्रदर्शित,displayed,10171
समर्थन,support,10170
बताया,told,10145
शक,doubt,10132
अंतर्गत,under,10119
स्थल,site,10114
बजे,at 10:00,10091
लाल,red,10087
मिल,mill,10084
चिकित्सा,treatment,10078
पुराने,old,10053
परन्तु,but,10017
मार्च,march,10007
देवी,goddess,10004
प्रचलित,prevalent,9999
समाप्त,end,9995
खोज,search,9983
जानकारी,information,9972
दक्षिणी,southern,9963
पड़ता,has to,9946
खिलाफ,against,9946
बनाए,make,9904
पैदा,born,9882
मी,me,9871
छोटी,small,9850
घोषणा,announcement,9842
रह,stay,9821
दिशा,direction,9804
दिनों,days,9798
उद्योग,industry,9778
किन्तु,but,9727
राज्यों,states,9699
चला,walked,9693
मदद,help,9679
दल,team,9664
वजह,reason,9636
मिली,found,9633
भीतर,inside,9632
कहानी,story,9629
क्या,what,9626
हवाई,airport,9588
संस्करण,version,9580
पुस्तक,book,9572
महान,great,9538
इंग्लैंड,england,9520
सफल,success,9507
नेतृत्व,leadership,9503
अप्रैल,april,9497
तहत,under,9490
अफ्रीका,africa,9481
स्वतंत्र,independent,9471
जिसकी,whose,9456
किमी,km,9425
अगर,if,9362
पत्र,letter,9362
क्रिया,verb,9353
स्वीकार,accept,9338
पीछे,back,9319
वंश,linage,9284
कमी,shortage,9271
कृषि,agriculture,9256
यूरोपीय,european,9255
भाषाओं,languages,9253
जून,june,9243
शब्दों,words,9242
महत्व,importance,9238
बैंक,bank,9205
अवस्था,stage,9194
भागों,parts,9186
लगता,seems,9173
रेल,rail,9161
भाई,brother,9148
अक्टूबर,october,9143
सम्मानित,honored,9130
अगस्त,august,9122
उनमें,among them,9095
जुलाई,july,9056
जिसने,who,9044
बल,force,9043
कहीं,somewhere,8999
कवि,poet,8993
कानून,law,8983
देती,gives,8966
मनुष्य,man,8963
मिलती,meets,8961
बंगाल,bengal,8947
अरब,arab,8938
महिला,woman,8915
विमानक्षेत्र,airport,8901
आर,r,8891
लाभ,benefit,8883
पर्वत,mountain,8881
पहचान,identification,8880
गांधी,gandhi,8876
बच्चों,children,8872
कॉलेज,college,8855
परिणाम,result,8848
सरकारी,government,8835
मौजूद,present,8828
मानते,believes,8823
आरम्भ,beginning,8787
परीक्षण,tests,8765
बल्कि,rather,8764
वापस,back,8699
लोक,folk,8695
समुदाय,community,8677
राम,ram,8667
चीनी,sugar,8666
शिव,shiva,8656
पाए,found,8654
व्यवहार,behaviour,8646
पद्धति,methodology,8633
जैसा,as,8630
गीत,song,8629
सार्वजनिक,public,8614
वहां,there,8582
श्रृंखला,series,8560
ट्रेन,train,8545
शासक,ruler,8532
ठीक,correct,8525
समुद्र,sea,8516
पांच,five,8515
योगदान,contribution,8507
बंद,close,8503
अनुसंधान,research,8500
लेखक,author,8495
सूर्य,sun,8491
निम्नलिखित,following,8491
आरंभ,beginning,8488
गांव,village,8466
मैच,match,8453
फ्रांस,france,8431
विधान,legislation,8424
ब्रिटेन,britain,8421
केन्द्र,centre,8372
अतः,therefore,8362
उसमें,in that,8346
मुस्लिम,muslim,8344
जैसी,like,8335
कृष्ण,krishna,8317
आयोजित,organized,8306
आंदोलन,agitation,8242
अंतरराष्ट्रीय,international,8238
स्वास्थ्य,health,8237
एम,m,8236
संबंधी,relative,8219
देखने,to see,8217
चुके,already,8217
करोड़,ten million,8212
प्रयुक्त,used,8209
सहायक,assistant,8176
संचालित,operated,8169
सागर,sea,8150
कुमाऊँ,kumaon,8134
सूचना,information,8134
रक्षा,protect,8130
सूची,list,8099
मुंबई,mumbai,8092
विरोध,oppose,8087
डिग्री,degree,8085
संविधान,constitution,8074
गुरु,teacher,8070
निम्न,lower,8066
अध्यक्ष,chairman,8051
उससे,from him,8042
पंजाब,punjab,8032
बदल,change,8014
औसत,average,7990
मन,mind,7981
ताकि,so that,7960
ज्ञात,known,7929
जाएगा,will go,7917
गैर,non,7900
यद्यपि,although,7899
वस्तु,object,7887
नया,new,7884
भोजन,meal,7882
लगाया,planted,7861
बढ़,increase,7860
स्वरूप,form,7858
जनगणना,census,7856
जिन्होंने,who,7851
विश्वास,faith,7850
उम्र,age,7845
छोड़,leave,7834
इंटरनेट,internet,7833
निर्भर,dependent,7831
विस्तृत,detailed,7827
प्रकृति,nature,7798
आक्रमण,attack,7796
लागू,applicable,7795
हाल,condition,7787
निजी,personal,7787
अच्छी,good,7782
सात,seven,7779
संग्रह,collection,7778
पक्ष,party,7775
निश्चित,fixed,7773
जीव,creatures,7770
निर्णय,decision,7763
चुका,paid,7762
इत्यादि,etc.,7762
सदस्यों,members,7755
मुक्त,free,7656
एंड,end,7653
मान,value,7626
राजस्थान,rajasthan,7617
सांस्कृतिक,cultural,7613
घटना,event,7611
घंटे,hours,7605
सामग्री,material,7604
तरफ,on the side,7578
स्थानों,places,7578
अली,ali,7565
प्रारंभ,start,7560
जर्मनी,germany,7556
रक्त,blood,7552
सर्वाधिक,maximum,7550
सीमित,limited,7513
प्रौद्योगिकी,technology,7505
हासिल,achieved,7505
अंग्रेज़ी,english,7498
नियम,rule,7496
देना,give,7494
अनुवाद,translation,7489
अधिकतर,mostly,7486
मान्यता,recognition,7481
तट,coast,7480
संभव,possible,7478
आमतौर,usually,7477
सम्मान,respect,7443
ग्रंथ,texts,7439
संकेत,signal,7418
उपचार,treatment,7417
संसद,parliament,7415
मत,don't,7409
जैन,jain,7387
पी,p,7383
समिति,committee,7383
आसपास,nearby,7382
सुधार,improvement,7374
चल,ambulatory,7366
विपरीत,adverse,7365
नेटवर्क,network,7364
अनुमति,permission,7357
निकट,near,7323
बावजूद,despite,7318
सही,correct,7310
वास्तविक,real,7308
गंगा,ganges,7307
मुख्यालय,headquarters,7273
प्रान्त,province,7269
पत्नी,wife,7265
मन्दिर,temple,7261
पुलिस,police,7260
मामले,cases,7248
आए,come,7238
हों,be,7219
निर्धारित,determined,7218
चित्र,picture,7204
जीत,victory,7192
भारी,heavy,7188
लगी,got stuck,7174
पूजा,prayer,7173
कश्मीर,kashmir,7170
कथा,story,7168
मिनट,minutes,7151
वायु,air,7132
कार्यों,functions,7130
अत्यंत,extremely,7128
नीति,policy,7127
लेते,taking,7124
स्रोत,source,7110
सारे,all,7104
करीब,close,7079
चलता,walks,7074
वास्तव,really,7068
चरण,phase,7068
छोटा,small,7060
खान,mine,7059
मात्र,only,7057
विदेशी,foreigner,7045
होगी,will be,7043
बनाई,made,7041
मिलियन,million,7040
मंत्री,minister,7035
आधिकारिक,official,7029
मिलते,meet,7026
कविता,poem,7025
प्रारंभिक,initial,7021
राजनीति,politics,7016
मामलों,matters,7012
सक्रिय,active,7010
गणना,calculation,6999
पुरुष,male,6986
रखते,keeping,6978
स्,s,6972
सफलता,success,6968
उपन्यास,novel,6965
नेपाल,nepal,6964
तापमान,temperature,6962
नियुक्त,appointed,6958
विभाजित,divided,6946
निर्वाचन,election,6935
अनुमान,estimate,6928
साधारण,ordinary,6917
अंतर,difference,6912
प्रधान,prime,6912
मिट्टी,soil,6909
घोषित,declared,6907
पर्याप्त,sufficient,6901
पाँच,five,6890
बोली,languages,6881
इस्लाम,islam,6836
जिनके,whose,6832
बाजार,market,6829
बांग्लादेश,bangladesh,6818
राज,rule,6815
य,y,6813
मेल,match,6812
आती,comes,6791
लेख,article,6783
महिलाओं,women,6782
ऑस्ट्रेलिया,australia,6767
बुद्ध,buddha,6760
प्रबंधन,management,6754
विजय,victory,6737
लीग,league,6733
रूस,russia,6716
करें,do,6715
वन,forest,6713
न्यायालय,court,6707
अत्यधिक,excessive,6700
उन्होने,he,6672
प्राय,usually,6671
खुद,self,6670
झील,lake,6665
महल,palace,6665
अल,al,6652
दृश्य,scene,6647
काव्य,poetry,6640
अंग,organ,6631
दस,ten,6626
नृत्य,dance,6624
शुरु,start,6617
पालन,compliance,6616
गठन,formation,6615
विद्युत,electricity,6613
अधिनियम,act,6610
लिखी,written,6608
संरचना,structure,6582
शाखा,branch,6573
धारा,stream,6551
प्रधानमंत्री,prime minister,6537
अनुभव,experience,6536
पाई,pie,6519
जापान,japan,6519
विधानसभा,assembly,6514
खिलाड़ी,player,6499
बच्चे,children,6495
उपकरण,equipment,6484
महीने,month,6478
अत,hence,6470
बनने,becoming,6428
समस्या,problem,6426
मिलकर,together,6425
सहयोग,collaboration,6424
तेल,oil,6422
जुड़े,connected,6414
नेता,leader,6406
प्रांत,province,6396
गैस,gas,6395
चले,let's go,6386
कोशिश,effort,6377
सम्मिलित,inclusive,6376
मुहम्मद,muhammad,6364
आयु,age,6353
संघर्ष,conflict,6350
सतह,surface,6347
हिंदू,hindu,6342
हमारे,our,6340
लंदन,london,6332
संत,saint,6316
सुविधा,facility,6315
अच्छा,good,6309
भवन,building,6306
प्रकाशन,publications,6305
परमाणु,nuclear,6299
जिनका,whose,6299
मानक,standard,6260
रात,night,6252
सिद्ध,proven,6239
जर्मन,german,6239
बस,bus,6224
एक्स्प्रेस,express,6223
प्रेम,love,6220
सम्बन्ध,relationship,6214
सर्वश्रेष्ठ,best,6202
ग्राम,gram,6190
इंडिया,india,6188
लक्षण,symptoms,6179
रासायनिक,chemical,6170
जिन,gin,6166
घाटी,valley,6163
लगातार,continuous,6154
अधिकारी,officer,6143
सप्तर्षि,saptarishi,6141
व्यक्तियों,individuals,6138
किनारे,shore,6131
औद्योगिक,industrial,6123
स्वामी,owner,6081
पार्क,park,6081
अर्थात्,that is,6081
सक्षम,able,6081
शादी,marriage,6055
नाटक,drama,6052
प्रचार,publicity,6047
परियोजना,project,6044
तरीके,methods,6026
सा,like,6026
सिर्फ,only,6025
पुनः,again,6025
आयोजन,events,6020
क्रम,order,6015
धातु,metal,6014
अम्ल,acid,6013
वस्तुओं,objects,6009
अधीन,under,6008
बराबर,equal,6003
चारों,all four,6002
पिछले,previous,5983
आदेश,order,5983
मिले,meet,5979
चेन्नई,chennai,5979
अवसर,opportunity,5977
अस्तित्व,existence,5965
शेष,remanent,5962
धन,wealth,5956
इतना,this much,5952
पत्थर,stone,5950
प्रस्ताव,proposal,5950
तत्व,element,5948
वहीं,there itself,5940
नष्ट,destroyed,5939
उत्पाद,product,5917
लक्ष्य,target,5914
सत्ता,power,5913
एन,n,5912
प्रकट,revealed,5904
योग्य,able,5901
क्रांति,revolution,5898
उल्लेखनीय,notable,5874
बाल,hair,5866
कंप्यूटर,computer,5849
अकादमी,academy,5846
इसने,this,5827
मॉडल,model,5816
तंत्र,mechanism,5815
शाह,shah,5808
तमिल,tamil,5806
वी,v,5804
वर्षा,rain,5796
क्लब,club,5794
फिल्मों,films,5793
दिसम्बर,december,5786
आठ,eight,5783
सैन्य,military,5775
गुण,property,5770
हिस्से,parts,5765
निवास,residence,5764
भौतिक,physical,5755
विचारों,thoughts,5742
योग,sum,5740
संसार,world,5727
रेखा,line,5725
विष्णु,vishnu,5725
डॉलर,dollar,5721
छह,six,5719
पार,cross,5709
जॉन,john,5707
अभिनय,acting,5699
अभियान,campaign,5695
शहरों,cities,5676
हमेशा,always,5653
मूल्य,value,5650
साँचा,template,5642
पवित्र,holy,5641
लिखे,write,5632
अगले,next,5623
परिषद,council,5620
लेता,takes,5608
परिणामस्वरूप,as a result,5607
संस्था,institution,5602
सरल,easy,5595
ईश्वर,god,5595
ग्रहण,eclipse,5592
अंदर,inside,5588
सुरक्षित,safe,5587
सड़क,road,5582
प्रशासनिक,administrative,5563
चाहते,want,5541
वातावरण,environment,5540
प्रायः,often,5540
समाचार,news,5533
नागरिक,citizen,5533
सम्राट,king,5532
परंपरा,legacy,5529
लखनऊ,lucknow,5526
व्यक्तिगत,personal,5512
प्रशिक्षण,training,5511
लिपि,script,5510
देख,see,5507
सोवियत,soviet,5506
क्षेत्रफल,area,5504
डिजाइन,design,5503
हत्या,murder,5501
सामूहिक,collective,5498
पश्चात्,after,5497
पश्चात,after,5492
व्याख्या,explanation,5489
ताप,heat,5478
प्राथमिक,primary,5473
पत्रिका,magazine,5468
विश्लेषण,analysis,5462
रसायन,chemicals,5459
शोध,research,5458
पहाड़ी,hill,5453
मैदान,field,5434
मौसम,season,5419
अभिनेता,actor,5416
चुकी,chuki,5413
माँ,mother,5410
बजाय,instead,5408
चक्र,cycle,5401
मील,mile,5396
प्रतिनिधित्व,representation,5391
संपर्क,contact,5390
गढ़वाल,garhwal,5383
संरक्षण,protection,5381
उनसे,from them,5368
विरुद्ध,against,5346
ईसाई,christian,5346
रेडियो,radio,5329
दृष्टिकोण,approach,5324
विमान,plane,5323
वें,th,5316
विषयों,subjects,5313
उपस्थित,present,5313
इंजन,engine,5306
सैनिक,soldier,5302
नवम्बर,november,5299
रानी,queen,5297
आचार्य,acharya,5292
जनरल,general,5285
दिये,lamps,5282
चर्च,church,5282
इलाहाबाद,allahabad,5277
भाव,expressions,5271
देव,god,5265
सीधे,straight,5263
विद्वानों,scholars,5254
आये,come,5254
महाराष्ट्र,maharashtra,5239
प्रशासन,administration,5235
फल,fruit,5223
तकनीक,technology,5213
राय,opinion,5211
मुख्यतः,mainly,5209
समस्त,all,5207
अंतरिक्ष,space,5205
प्रमाण,proof,5203
विद्यालय,school,5194
पदार्थों,substances,5192
कैंसर,cancer,5191
जिसमे,in which,5188
सूत्र,formula,5174
वही,same,5171
चलते,go,5169
कुमार,kumar,5168
आलोचना,criticism,5161
एल,l,5156
सामना,face,5153
उचित,appropriate,5146
पारंपरिक,traditional,5131
वित्तीय,financial,5129
माने,means,5125
कार्बन,carbon,5124
शीर्ष,top,5118
रोमन,roman,5114
ज्यादातर,mostly,5092
रचित,composed,5087
लड़ाई,battle,5080
व्यक्त,express,5074
देखते,see,5071
व्यवसाय,business,5070
उत्पत्ति,produce,5070
तेजी,speed,5066
जुड़ा,connected,5062
बेहतर,better,5060
हवा,air,5059
किले,fort,5053
तत्कालीन,then,5052
खास,special,5041
शारीरिक,physical,5026
ग्रह,planet,5025
दर्शाता,shows,5024
गूगल,google,5011
दबाव,pressure,5011
सम्मेलन,conference,5010
निर्माता,manufacturer,5006
उर्दू,urdu,5005
ब्राह्मण,brahmin,4999
गुजरात,gujarat,4989
युक्त,containing,4986
टेस्ट,test,4986
सर्वोच्च,supreme,4985
सॉफ्टवेयर,software,4985
विभाजन,division,4977
लंबे,long,4974
पर्यावरण,environment,4966
गंभीर,serious,4960
पहुँच,access,4958
मीडिया,media,4954
रिपोर्ट,report,4946
अर्थात,in other words,4945
सेंट,saint,4943
लेखन,writing,4937
मिलने,to meet,4936
उपयुक्त,suitable,4929
नियमित,regular,4929
कप,cup,4929
प्रतीक,sign,4923
विद्रोह,rebellion,4916
ढंग,manner,4915
दावा,claim,4904
जीता,won,4895
मानना,accept,4893
रखता,keeps,4886
प्रेरित,inspired,4886
संभावना,possibility,4876
हैदराबाद,hyderabad,4856
एच,h,4854
जीवित,alive,4848
सिस्टम,system,4844
गणराज्य,republic,4842
पाने,to get,4835
प्रसाद,offering,4833
कोलकाता,kolkata,4832
तकनीकी,technology,4831
मांग,demand,4831
हमें,us,4829
समुद्री,marine,4828
एकमात्र,sole,4823
अर्थव्यवस्था,economy,4821
अपेक्षा,expectation,4813
सभ्यता,civilization,4809
आन्ध्रप्रदेश,andhra pradesh,4808
शास्त्र,ethology,4806
भेजा,sent,4806
घटनाओं,events,4806
कार्यालय,office,4805
लंबी,long,4800
न्यू,new,4794
समूहों,groups,4792
ग्रामीण,rural,4789
पटना,patna,4788
मौत,death,4782
शायद,perhaps,4778
विख्यात,noted,4778
इकाई,unit,4777
पौधों,plants,4777
लागत,cost,4772
लगाने,to apply,4768
नियंत्रित,controlled,4763
शिकार,hunt,4761
पुरानी,old,4755
परीक्षा,examination,4743
केरल,kerala,4742
विविध,various,4740
टीवी,tv,4737
कहलाता,called,4735
तीसरे,third,4734
ना,no,4731
जोखिम,risk,4730
फरवरी,february,4728
ग्रन्थ,book,4724
विक्रम,vikram,4722
जलवायु,climate,4719
अंग्रेजों,british,4719
नही,no,4718
जांच,test,4718
तर्क,logic,4715
संचालन,operation,4715
वैदिक,vedic,4711
मिस्र,egypt,4708
वालों,those,4705
प्रतिक्रिया,feedback,4705
परिवर्तित,converted,4694
गाँधी,gandhi,4691
कहना,tell,4690
एकल,singles,4677
सितंबर,september,4673
घरेलू,domestic,4669
सत्य,truth,4665
आगरा,agra,4661
उनको,for them,4661
भावना,emotion,4659
युवा,youth,4656
रखी,kept,4654
दिखाया,showed,4652
वर्णित,described,4646
